,VehicleNo,TripId,RouteNo,Direction,Destination,Pattern,Latitude,Longitude,RecordedTime,RouteMap
0,11323,10786046,147,WEST,METROTOWN STN,WB1,49.218867,-123.012433,10:01:32 am,{'Href': 'https://nb.translink.ca/geodata/147.kmz'}
1,11324,10779666,103,EAST,VICTORIA HILL,EB1,49.199867,-122.922017,10:01:40 am,{'Href': 'https://nb.translink.ca/geodata/103.kmz'}
2,12001,10774605,049,EAST,METROTOWN STN,EB1,49.252983,-123.244683,10:02:21 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
3,12002,10774596,049,EAST,METROTOWN STN,EB1,49.22475,-123.046233,10:02:12 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
4,12021,10774741,049,WEST,UBC,WB1,49.23015,-123.180217,10:02:28 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
5,14001,10788093,160,WEST,KOOTENAY LOOP,WB1,49.285267,-122.797683,10:02:20 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
6,14002,10788095,160,WEST,KOOTENAY LOOP,WB1,49.261117,-122.774033,09:56:05 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
7,14005,10791498,188,WEST,COQ CTRL STN,WB2,49.29485,-122.771617,10:01:36 am,{'Href': 'https://nb.translink.ca/geodata/188.kmz'}
8,14011,10788008,160,EAST,PT COQ STN,EB1,49.284467,-122.808717,10:01:25 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
9,14014,10787760,159,EAST,COQ CTRL STN,EB1A,49.27335,-122.7899,10:02:20 am,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
10,14015,10812436,701,EAST,MAPLE RIDGE EAST,EB1D1,49.21855,-122.689617,10:02:07 am,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
11,14017,10790242,183,EAST,COQ CTRL STN,EB1,49.276633,-122.8435,10:01:34 am,{'Href': 'https://nb.translink.ca/geodata/183.kmz'}
12,14018,10791473,188,EAST,PT COQ STN,EB2,49.259933,-122.7827,10:02:10 am,{'Href': 'https://nb.translink.ca/geodata/188.kmz'}
13,14019,10786769,152,WEST,LOUGHEED STN,WB1MAR,49.275617,-122.798717,10:02:02 am,{'Href': 'https://nb.translink.ca/geodata/152.kmz'}
14,14020,10788010,160,EAST,PT COQ STN,EB1,49.28105,-123.01485,10:02:19 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
15,14022,10788094,160,WEST,KOOTENAY LOOP,WB1,49.266033,-122.777767,10:00:35 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
16,14024,10786742,152,EAST,COQ CTRL STN,EB1MAR,49.256267,-122.815617,10:02:11 am,{'Href': 'https://nb.translink.ca/geodata/152.kmz'}
17,14027,10812431,701,EAST,HANEY PLACE,EB3D1,49.220483,-122.603833,10:01:17 am,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
18,14029,10787759,159,EAST,COQ CTRL STN,EB1A,49.22625,-122.824017,10:02:12 am,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
19,14031,10788389,169,WEST,BRAID STN,WB1,49.2688,-122.798817,10:01:56 am,{'Href': 'https://nb.translink.ca/geodata/169.kmz'}
20,14035,10812506,701,WEST,COQ CTRL STN,WB2MRB,49.217183,-122.684933,10:02:14 am,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
21,14038,10787356,156,EAST,BRAID STN,EB1,49.248067,-122.894317,09:56:35 am,{'Href': 'https://nb.translink.ca/geodata/156.kmz'}
22,15001,10777309,096,SOUTH,NEWTON EXCH B-LINE,SB1GT,49.140017,-122.845717,10:02:30 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
23,15002,10777264,096,SOUTH,NEWTON EXCH B-LINE,SB1GT,49.193867,-122.8051,10:01:12 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
24,15005,10777159,096,NORTH,GUILDFORD B-LINE,NB1GT,49.19145,-122.8117,10:01:09 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
25,15007,10777229,096,NORTH,GUILDFORD B-LINE,NB1GT,49.177683,-122.84545,10:01:49 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
26,15009,10777311,096,SOUTH,NEWTON EXCH B-LINE,SB1GT,49.191567,-122.81325,10:01:40 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
27,1501,10789458,174,WEST,COQ CTRL STN,WB1,49.270433,-122.8009,10:02:20 am,{'Href': 'https://nb.translink.ca/geodata/174.kmz'}
28,15011,10826332,503,EAST,FRASER HWY EXP/LANGLEY CTR,EB4,49.189033,-122.848767,09:54:29 am,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
29,15013,10826404,503,WEST,FRASER HWY EXP/SURREY CTRL STN,WB4,49.148967,-122.758233,10:02:26 am,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
30,15017,10811915,620,SOUTH,TSAWW. FERRY VIA LADNER EXCH,SB1,49.195767,-123.125983,10:01:55 am,{'Href': 'https://nb.translink.ca/geodata/620.kmz'}
31,15018,10774695,049,WEST,UBC,WB1,49.22345,-123.028517,10:01:30 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
32,15019,10811925,620,SOUTH,TSAWW. FERRY VIA LADNER EXCH,SB1,49.090017,-123.063067,10:01:16 am,{'Href': 'https://nb.translink.ca/geodata/620.kmz'}
33,1502,10813158,744,EAST,HANEY PLACE,EB1,49.22055,-122.67225,10:02:34 am,{'Href': 'https://nb.translink.ca/geodata/744.kmz'}
34,15021,10774707,049,WEST,UBC,WB1,49.25525,-123.237533,10:01:43 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
35,1504,10813229,745,EAST,COTTONWOOD,EB1,49.219633,-122.597183,09:59:57 am,{'Href': 'https://nb.translink.ca/geodata/745.kmz'}
36,1505,10784697,136,WEST,BRENTWOOD STN,WB1,49.248233,-122.8955,09:49:25 am,{'Href': 'https://nb.translink.ca/geodata/136.kmz'}
37,1509,10781689,116,WEST,METROTOWN STN,WB1,49.20825,-123.018267,10:02:06 am,{'Href': 'https://nb.translink.ca/geodata/116.kmz'}
38,1512,10780203,105,EAST,UPTOWN,EB1,49.201,-122.913083,10:02:12 am,{'Href': 'https://nb.translink.ca/geodata/105.kmz'}
39,1513,10808246,414,EAST,BRIGHOUSE STN,EB1,49.173817,-123.15105,09:59:28 am,{'Href': 'https://nb.translink.ca/geodata/414.kmz'}
40,1514,10811253,609,EAST,SOUTH DELTA EXCH,EB1,49.038967,-123.09775,10:01:51 am,{'Href': 'https://nb.translink.ca/geodata/609.kmz'}
41,1518,10786239,148,EAST,EDMONDS STN,EB1,49.219833,-122.988383,10:02:00 am,{'Href': 'https://nb.translink.ca/geodata/148.kmz'}
42,1522,10775486,068,NORTH,UBC EXCH,NB1,49.267717,-123.258067,10:02:30 am,{'Href': 'https://nb.translink.ca/geodata/068.kmz'}
43,1523,10770737,023,EAST,MAIN ST STN,EB1,49.277183,-123.135017,10:00:55 am,{'Href': 'https://nb.translink.ca/geodata/023.kmz'}
44,1526,10775517,068,SOUTH,LOWER MALL,SB1,49.273083,-123.248733,10:02:13 am,{'Href': 'https://nb.translink.ca/geodata/068.kmz'}
45,1527,10808148,413,WEST,STEVESTON,WB1,49.141067,-123.168467,10:02:11 am,{'Href': 'https://nb.translink.ca/geodata/413.kmz'}
46,1529,10770738,023,EAST,MAIN ST STN,EB1,49.28775,-123.141617,10:01:36 am,{'Href': 'https://nb.translink.ca/geodata/023.kmz'}
47,1530,10779742,103,WEST,QUAYSIDE,WB1,49.201083,-122.91195,09:56:51 am,{'Href': 'https://nb.translink.ca/geodata/103.kmz'}
48,1536,10770847,023,WEST,BEACH,WB1,49.273367,-123.101633,10:01:59 am,{'Href': 'https://nb.translink.ca/geodata/023.kmz'}
49,1538,10786283,148,WEST,ROYAL OAK STN,WB1,49.211933,-122.958317,09:58:41 am,{'Href': 'https://nb.translink.ca/geodata/148.kmz'}
