,VehicleNo,TripId,RouteNo,Direction,Destination,Pattern,Latitude,Longitude,RecordedTime,RouteMap
0,14007,10812321,701,EAST,HANEY PLACE,EB3D1,49.2252,-122.689583,01:18:23 am,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
1,14008,10787709,159,WEST,BRAID STN,WB1,49.230483,-122.860133,01:17:37 am,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
2,14009,10791441,188,WEST,COQ CTRL STN,WB2,49.260883,-122.7828,01:18:43 am,{'Href': 'https://nb.translink.ca/geodata/188.kmz'}
3,14013,10786440,151,EAST,COQ CTRL STN,EB1,49.275883,-122.7985,01:17:18 am,{'Href': 'https://nb.translink.ca/geodata/151.kmz'}
4,14014,10787869,160,EAST,PT COQ STN,EB1,49.27565,-122.7983,01:17:09 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
5,14026,10791381,188,EAST,PT COQ STN,EB2,49.275933,-122.7981,01:16:56 am,{'Href': 'https://nb.translink.ca/geodata/188.kmz'}
6,14032,10787941,160,WEST,KOOTENAY LOOP,WB1,49.260983,-122.773883,01:18:40 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
7,14037,10787668,159,EAST,COQ CTRL STN,EB1A,49.274367,-122.7923,01:18:38 am,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
8,14039,10787868,160,EAST,PT COQ STN,EB1,49.280333,-122.974467,01:18:25 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
9,14045,10786441,151,WEST,BURQUITLAM STN,WB1,49.263567,-122.869867,01:18:20 am,{'Href': 'https://nb.translink.ca/geodata/151.kmz'}
10,15003,10819295,N19,WEST,DOWNTOWN NIGHTBUS,W1,49.188833,-122.849667,01:18:16 am,{'Href': 'https://nb.translink.ca/geodata/N19.kmz'}
11,16011,10779919,104,NORTH,22ND ST STN,NB1,49.188267,-122.942,01:18:25 am,{'Href': 'https://nb.translink.ca/geodata/104.kmz'}
12,16013,10782852,128,WEST,22ND ST STN,WB1,49.231583,-122.891017,01:18:40 am,{'Href': 'https://nb.translink.ca/geodata/128.kmz'}
13,16015,10783036,129,WEST,PATTERSON STN,WB1,49.22815,-123.0098,01:17:44 am,{'Href': 'https://nb.translink.ca/geodata/129.kmz'}
14,16046,10779267,101,EAST,LOUGHEED STN,EB1,49.2482,-122.914033,01:18:49 am,{'Href': 'https://nb.translink.ca/geodata/101.kmz'}
15,16112,10806728,407,NORTH,BRIDGEPORT,NB1,49.195,-123.126983,01:18:45 am,{'Href': 'https://nb.translink.ca/geodata/407.kmz'}
